#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:toy_example_3_1_1_1" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:toy_example_3_1_1_1" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:toy_example_3_1_1_1" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:toy_example_3_1_1_1">
#                <taxonset id="TaxonSet.toy_example_3_1_1_1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:toy_example_3_1_1_1" name="distribution" x="@birthRate2.t:toy_example_3_1_1_1">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:toy_example_3_1_1_1" name="distribution" x="@relativeDeathRate2.t:toy_example_3_1_1_1">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@toy_example_3_1_1_1" id="treeLikelihood.toy_example_3_1_1_1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:toy_example_3_1_1_1">
#            <siteModel id="SiteModel.s:toy_example_3_1_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:toy_example_3_1_1_1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:toy_example_3_1_1_1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:toy_example_3_1_1_1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:toy_example_3_1_1_1" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:toy_example_3_1_1_1" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:toy_example_3_1_1_1" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	
0	-6327.317635943801	-6319.267666938739	-8.049969005062337	-6319.267666938739	0.92681859949172	-1.142213726080201	1.0	0.5	
1000	-3172.012413920846	-3187.4563784101247	15.443964489278763	-3187.4563784101247	0.05354225400862155	22.3517197682609	3.6037279897558743	0.861670201606216	
2000	-3170.034660576581	-3186.9510820356345	16.916421459053545	-3186.9510820356345	0.04540905727815399	23.824176738035682	5.8378546246928416	0.8950948694554751	
3000	-3175.911872695452	-3190.8826044631955	14.970731767743434	-3190.8826044631955	0.05455545832590375	21.87848704672557	5.7641790754065605	0.7574436840036528	
4000	-3172.534663826654	-3189.7125745621215	17.177910735467453	-3189.7125745621215	0.04943805553867313	24.08566601444959	20.502229268141065	0.23647629132625775	
5000	-3171.859883574193	-3187.8668722744983	16.006988700305257	-3187.8668722744983	0.054936841537584685	22.914743979287394	37.59441155288825	0.2204513623578187	
6000	-3172.8534098894925	-3190.2954694355385	17.442059546046014	-3190.2954694355385	0.05110576910038919	24.34981482502815	37.1821620115169	0.2411443849591758	
7000	-3173.112579981671	-3189.9095709483654	16.796990966694363	-3189.9095709483654	0.05186517431180456	23.7047462456765	37.38677982437156	0.3316477764485266	
8000	-3172.8269488483893	-3190.4303759762133	17.60342712782422	-3190.4303759762133	0.04912516277090165	24.511182406806356	43.36052492061344	0.1651732692157414	
9000	-3176.2870069502533	-3195.3153387058587	19.028331755605443	-3195.3153387058587	0.041577633216546436	25.93608703458758	28.908805178834353	0.31562005158132767	
10000	-3168.339589902676	-3185.2351540703585	16.895564167682643	-3185.2351540703585	0.05111641976630544	23.80331944666478	33.86399215344887	0.3301724578382922	
