#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:toy_example_1_1_1_1" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:toy_example_1_1_1_1" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:toy_example_1_1_1_1" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:toy_example_1_1_1_1">
#                <taxonset id="TaxonSet.toy_example_1_1_1_1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:toy_example_1_1_1_1" name="distribution" x="@birthRate2.t:toy_example_1_1_1_1">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:toy_example_1_1_1_1" name="distribution" x="@relativeDeathRate2.t:toy_example_1_1_1_1">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@toy_example_1_1_1_1" id="treeLikelihood.toy_example_1_1_1_1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:toy_example_1_1_1_1">
#            <siteModel id="SiteModel.s:toy_example_1_1_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:toy_example_1_1_1_1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:toy_example_1_1_1_1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:toy_example_1_1_1_1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:toy_example_1_1_1_1" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:toy_example_1_1_1_1" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:toy_example_1_1_1_1" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	
0	-9735.814120685256	-9728.870402381404	-6.943718303852538	-9728.870402381404	0.9773247164574151	-0.03596302487040193	1.0	0.5	
1000	-4406.066927848039	-4441.982953199449	35.916025351410056	-4441.982953199449	0.057555349736640816	42.82378063039219	20.912557095143228	0.5442183466148629	
2000	-4118.652258788742	-4155.50627131975	36.854012531008586	-4155.50627131975	0.05151422954955172	43.76176780999072	30.9221401791794	0.23280659278855056	
3000	-4114.4344323389905	-4151.021654727784	36.587222388793606	-4151.021654727784	0.053922690175882346	43.49497766777574	33.28670628990514	0.13922911881346622	
4000	-4121.165534424238	-4155.647452614554	34.48191819031603	-4155.647452614554	0.05486939264751574	41.38967346929817	50.30833770580344	0.11653540693967684	
5000	-4110.169301307041	-4147.389116045159	37.21981473811899	-4147.389116045159	0.0493582086483379	44.12757001710113	35.871258713349874	0.22174601718161305	
6000	-4114.813145515528	-4151.181304816665	36.36815930113719	-4151.181304816665	0.056095760153825724	43.27591458011933	35.75907687218204	0.13464761709501963	
7000	-4112.997864542631	-4150.54280734686	37.544942804228896	-4150.54280734686	0.04980073798547196	44.45269808321103	31.104158553226384	0.22961562707632513	
8000	-4119.024605343749	-4153.018338159279	33.99373281553003	-4153.018338159279	0.06528974998530146	40.90148809451217	24.52839153196098	0.3886887616764007	
9000	-4107.35671274196	-4142.860554216544	35.50384147458407	-4142.860554216544	0.053177416864258566	42.41159675356621	17.757715140351426	0.3572478061265421	
10000	-4110.88551478233	-4144.406694983527	33.52118020119705	-4144.406694983527	0.055831962920777405	40.428935480179184	26.63492176514363	0.5317282267450885	
